"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implId","Param: valueParam"
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"2024251,478836",NaN,"ops/s",STRINGSWITCH,FALS
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"724913,642583",NaN,"ops/s",STRINGSWITCH,TRUE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"978201,857423",NaN,"ops/s",STRINGSWITCH,ONE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1255488,010608",NaN,"ops/s",STRINGSWITCH,FALSE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1265618,280756",NaN,"ops/s",OPTIMIZED,TRUE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1782298,528138",NaN,"ops/s",OPTIMIZED,FALSE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"5967202,555692",NaN,"ops/s",OPTIMIZED,ONE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"3270372,008655",NaN,"ops/s",OPTIMIZED,ZERO
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"6361810,370263",NaN,"ops/s",OPTIMIZED,TRU
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1185909,867297",NaN,"ops/s",OPTIMIZED,FALS
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"534568,083224",NaN,"ops/s",OPTIMIZED,TRUE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"530678,816818",NaN,"ops/s",OPTIMIZED,ONE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"2079163,526945",NaN,"ops/s",OPTIMIZED,FALSE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"8738250,926095",NaN,"ops/s",RESEARCH,TRUE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1438755,907602",NaN,"ops/s",RESEARCH,FALSE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"6654529,106764",NaN,"ops/s",RESEARCH,ONE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"52394454,755857",NaN,"ops/s",RESEARCH,ZERO
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"3491706,011769",NaN,"ops/s",RESEARCH,TRU
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"1535874,674928",NaN,"ops/s",RESEARCH,FALS
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"3373843,785023",NaN,"ops/s",RESEARCH,TRUE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"647135,861901",NaN,"ops/s",RESEARCH,ONE_SPACE
"crazysoap.ParseBooleanBenchmarkTest.parse","thrpt",1,2,"3301991,431618",NaN,"ops/s",RESEARCH,FALSE_SPACE
